Country,Year,Sex,NCD_Mortality_Rate
Western Pacific,2015,Male,378.98254
Europe,2021,Male,361.59042
Africa,2018,Female,572.51819
Americas,2004,Female,478.90271
Americas,2020,Male,539.26221
Eastern Mediterranean,2021,Female,294.82938
Europe,2002,Female,458.89615
Europe,2017,Female,368.66153
Americas,2014,Male,604.8598
Eastern Mediterranean,2012,Male,671.20105
Africa,2001,Male,1095.59607
Europe,2009,Male,861.81842
Africa,2000,Female,596.71112
Africa,2019,Female,446.19992
Americas,2021,Female,503.02643
Africa,2008,Female,564.26361
Europe,2006,Male,932.60358
Europe,2010,Female,483.31741
Europe,2014,Male,563.12201
Americas,2016,Male,645.16144
Europe,2008,Female,422.31522
Western Pacific,2013,Female,858.01166
Americas,2018,Male,536.63251
South-East Asia,2019,Male,739.73395
Americas,2021,Male,590.1701
Americas,2009,Male,480.72711
Western Pacific,2018,Male,1099.78931
Western Pacific,2012,Female,718.15045
Europe,2021,Female,556.99701
Americas,2000,Female,418.11295
Americas,2001,Female,420.60623
Europe,2003,Female,301.11972
Americas,2004,Male,513.59644
Europe,2001,Male,529.35498
Europe,2000,Female,1193.12378
Europe,2009,Male,481.05093
Europe,2013,Male,439.68753
Africa,2004,Male,801.90063
Eastern Mediterranean,2017,Male,628.97406
Europe,2006,Male,1151.04675
Africa,2002,Female,602.79242
Africa,2017,Female,483.39545
Africa,2020,Male,830.08881
Europe,2021,Male,420.67419
Americas,2000,Male,820.8653
Europe,2019,Female,275.64432
Eastern Mediterranean,2006,Female,795.37402
Africa,2019,Male,646.62311
Africa,2006,Female,621.33691
Europe,2020,Female,509.84579
Eastern Mediterranean,2017,Male,363.10251
Europe,2015,Male,441.54855
Africa,2007,Male,585.6579
Americas,2021,Female,289.87582
Africa,2001,Female,642.49054
Europe,2009,Female,289.30249
Europe,2003,Female,602.29736
Eastern Mediterranean,2006,Male,644.42914
Europe,2001,Male,833.82043
Africa,2009,Female,681.22876
Eastern Mediterranean,2016,Female,492.51187
Africa,2003,Female,567.81287
Africa,2009,Female,806.05475
Europe,2020,Female,257.66339
Americas,2013,Female,401.93637
Americas,2003,Male,750.85406
Americas,2002,Female,478.01779
Africa,2008,Male,633.1026
Americas,2006,Male,546.89197
Europe,2009,Male,466.97711
Americas,2015,Female,453.39703
Africa,2006,Female,584.30029
South-East Asia,2015,Female,574.82172
Eastern Mediterranean,2003,Female,691.71106
Eastern Mediterranean,2015,Male,593.72284
Africa,2019,Female,714.48071
Eastern Mediterranean,2004,Female,743.03455
Americas,2015,Male,563.06311
Europe,2001,Female,311.22806
Europe,2010,Female,290.18066
Western Pacific,2007,Female,745.4538
Europe,2002,Female,536.71582
Europe,2006,Male,1123.99609
Africa,2010,Female,662.14215
Africa,2018,Male,646.1286
Western Pacific,2015,Male,301.33606
Africa,2011,Female,580.7486
Europe,2000,Male,527.95648
Americas,2016,Female,432.21982
Western Pacific,2009,Male,805.47028
Europe,2017,Female,451.5
Europe,2014,Female,350.02792
Americas,2010,Male,422.56879
Africa,2017,Female,548.54297
Africa,2021,Male,680.08795
Europe,2016,Male,806.16168
Europe,2015,Male,647.76093
Western Pacific,2013,Male,741.89752
Eastern Mediterranean,2015,Male,950.40027
Europe,2001,Male,490.09714
Africa,2010,Female,563.71619
Americas,2009,Male,518.09821
Europe,2017,Female,410.77103
Western Pacific,2009,Male,335.9119
Western Pacific,2019,Male,309.24878
Western Pacific,2012,Male,1133.51819
Eastern Mediterranean,2015,Male,625.69501
Western Pacific,2000,Male,622.04358
Africa,2000,Female,601.43915
Eastern Mediterranean,2010,Female,672.45935
Americas,2002,Female,344.53235
Europe,2016,Male,364.32144
Europe,2021,Male,913.08875
Europe,2003,Female,328.40555
Africa,2000,Male,921.9043
Americas,2008,Male,460.31726
Africa,2013,Female,545.36743
Americas,2008,Male,391.04849
Americas,2000,Female,335.48172
